"isocode","caplat","caplon","continent"
"MNE","42.43333333333333","19.266667","Europe"
"MSR","16.7","-62.216667","North America"
"MAR","34.016666666666666","-6.816667","Africa"
"MOZ","-25.95","32.583333","Africa"
"NAM","-22.566666666666666","17.083333","Africa"
"NPL","27.716666666666665","85.316667","Asia"
"NLD","52.35","4.916667","Europe"
"NCL","-22.266666666666666","166.450000","Australia"
"NZL","-41.3","174.783333","Australia"
"NIC","12.133333333333333","-86.250000","Central America"
"NER","13.516666666666667","2.116667","Africa"
"NGA","9.083333333333334","7.533333","Africa"
"NIU","-19.016666666666666","-169.916667","Australia"
"NFK","-29.05","167.966667","Australia"
"MNP","15.2","145.750000","Australia"
"NOR","59.916666666666664","10.750000","Europe"
"OMN","23.616666666666667","58.583333","Asia"
"PAK","33.68333333333333","73.050000","Asia"
"PLW","7.483333333333333","134.633333","Australia"
"PAN","8.966666666666667","-79.533333","Central America"
"PNG","-9.45","147.183333","Australia"
"PRY","-25.266666666666666","-57.666667","South America"
"PER","-12.05","-77.050000","South America"
"PHL","14.6","120.966667","Asia"
"PCN","-25.066666666666666","-130.083333","Australia"
"POL","52.25","21.000000","Europe"
"PRT","38.71666666666667","-9.133333","Europe"
"PRI","18.466666666666665","-66.116667","North America"
"QAT","25.283333333333335","51.533333","Asia"
"ROU","44.43333333333333","26.100000","Europe"
"RUS","55.75","37.600000","Europe"
"RWA","-1.95","30.050000","Africa"
"BLM","17.883333333333333","-62.850000","North America"
"SHN","-15.933333333333334","-5.716667","Africa"
"KNA","17.3","-62.716667","North America"
"LCA","14","-61.000000","North America"
"SPM","46.766666666666666","-56.183333","Central America"
"VCT","13.133333333333333","-61.216667","Central America"
"WSM","-13.816666666666666","-171.766667","Australia"
"SMR","43.93333333333333","12.416667","Europe"
"STP","0.3333333333333333","6.733333","Africa"
"SAU","24.65","46.700000","Asia"
"SEN","14.733333333333333","-17.633333","Africa"
"SRB","44.833333333333336","20.500000","Europe"
"SYC","-4.616666666666667","55.450000","Africa"
"SLE","8.483333333333333","-13.233333","Africa"
"SGP","1.2833333333333332","103.850000","Asia"
"SXM","18.016666666666666","-63.033333","North America"
"SVK","48.15","17.116667","Europe"
"SVN","46.05","14.516667","Europe"
"SLB","-9.433333333333334","159.950000","Australia"
"SOM","2.066666666666667","45.333333","Africa"
"ZAF","-25.7","28.216667","Africa"
"SSD","4.85","31.616667","Africa"
"ESP","40.4","-3.683333","Europe"
"LKA","6.916666666666667","79.833333","Asia"
"SDN","15.6","32.533333","Africa"
"SUR","5.833333333333333","-55.166667","South America"
"SJM","78.21666666666667","15.633333","Europe"
"SWZ","-26.316666666666666","31.133333","Africa"
"SWE","59.333333333333336","18.050000","Europe"
"CHE","46.916666666666664","7.466667","Europe"
"SYR","33.5","36.300000","Asia"
"TWN","25.033333333333335","121.516667","Asia"
"TJK","38.55","68.766667","Asia"
"TZA","-6.8","39.283333","Africa"
"THA","13.75","100.516667","Asia"
"TLS","-8.583333333333334","125.600000","Asia"
"TGO","6.116666666666666","1.216667","Africa"
"TON","-21.133333333333333","-175.200000","Australia"
"TTO","10.65","-61.516667","North America"
"TUN","36.8","10.183333","Africa"
"TUR","39.93333333333333","32.866667","Europe"
"TKM","37.95","58.383333","Asia"
"TCA","21.466666666666665","-71.133333","North America"
"TUV","-8.516666666666667","179.216667","Australia"
"UGA","0.31666666666666665","32.550000","Africa"
"UKR","50.43333333333333","30.516667","Europe"
"ARE","24.466666666666665","54.366667","Asia"
"GBR","51.5","-0.083333","Europe"
"USA","38.883333","-77.000000","Central America"
"URY","-34.85","-56.166667","South America"
"UZB","41.31666666666667","69.250000","Asia"
"VUT","-17.733333333333334","168.316667","Australia"
"VEN","10.483333333333333","-66.866667","South America"
"VNM","21.033333333333335","105.850000","Asia"
"VIR","18.35","-64.933333","North America"
"WLF","-13.95","-171.933333","Australia"
"YEM","15.35","44.200000","Asia"
"ZMB","-15.416666666666666","28.283333","Africa"
"ZWE","-17.816666666666666","31.033333","Africa"
"UMI","38.883333","-77.000000","Australia"
"ATA","0","0.000000","Antarctica"
"HKG","0","0.000000","Asia"
"HMD","0","0.000000","Antarctica"
"IOT","-7.3","72.400000","Africa"
"MAC","0","0.000000","Asia"
"XKX","42.666666666666664","21.166667","Europe"
